"date","country","channel_id","device_type","exit_clicks","revenue_loc"
"2025-05-23","CZ","61","tablet","65","427.18"
"2025-05-23","CZ","39","pc","1441","5975.12"
"2025-05-22","CZ","6","mobile","13005","84042.04"
"2025-05-22","CZ","25","mobile","367","2004.95"
"2025-05-22","CZ","17","mobile","2684","16806.54"
"2025-05-22","CZ","70","pc","67","413.55"
"2025-05-22","CZ","42","mobile","9","82.52"
"2025-05-22","CZ","9","mobile","237","1427.18"
"2025-05-22","CZ","22","tablet","76","592.43"
"2025-05-22","CZ","7","mobile","77","495.16"
"2025-05-24","CZ","20","tablet","36","393.19"
"2025-05-24","CZ","16","mobile","57","382.51"
"2025-05-24","CZ","5","tablet","132","906.4"
"2025-05-24","CZ","68","mobile","33","202.05"
"2025-05-24","CZ","45","mobile","7","68.79"
"2025-06-07","CZ","35","mobile","194","1001.06"
"2025-06-07","CZ","30","pc","221","1480.57"
"2025-06-06","CZ","61","pc","1393","7680.96"
"2025-06-06","CZ","38","mobile","43","219.95"
"2025-06-06","CZ","39","pc","981","4068.18"
"2025-06-05","CZ","25","mobile","205","1520.4"
"2025-06-05","CZ","16","mobile","31","173.61"
"2025-06-09","CZ","58","mobile","3854","29165.76"
"2025-06-09","CZ","10","mobile","351","2605.38"
"2025-06-09","CZ","29","tablet","100","544.11"
"2025-06-08","CZ","26","tablet","115","657.35"
"2025-06-08","CZ","22","tablet","180","1109.79"
"2025-06-21","CZ","27","mobile","5861","34493.3"
"2025-06-21","CZ","23","tablet","4","13.28"
"2025-05-13","CZ","26","mobile","3250","17215.77"
"2025-05-13","CZ","23","pc","1263","8215.5"
"2025-05-13","CZ","69","mobile","542","2602.82"
"2025-05-13","CZ","18","mobile","161","1084.63"
"2025-06-04","CZ","61","pc","1470","8262.27"
"2025-06-04","CZ","66","pc","55","233.31"
"2025-06-17","CZ","7","pc","16","90.33"
"2025-06-17","CZ","6","tablet","36","208.27"
"2025-06-17","CZ","25","tablet","29","221.97"
"2025-06-10","CZ","20","pc","182","1199.54"
"2025-05-14","CZ","52","mobile","384","1800.81"
"2025-05-14","CZ","32","mobile","108","612.88"
"2025-05-03","CZ","58","mobile","3575","25203.97"
"2025-05-03","CZ","13","mobile","60","333.43"
"2025-05-03","CZ","38","pc","26","90.24"
"2025-07-01","CZ","18","pc","32","206.38"
"2025-07-01","CZ","12","pc","15","110.65"
"2025-07-02","CZ","64","pc","32","214.17"
"2025-07-02","CZ","53","mobile","17","90.02"
"2025-05-06","CZ","27","pc","4388","26576.26"
"2025-05-06","CZ","67","mobile","1403","9115.56"
"2025-05-17","CZ","5","mobile","20680","134234.05"
"2025-05-17","CZ","35","mobile","302","1557.32"
"2025-07-04","CZ","27","mobile","4941","32106.15"
